# board=.../AutoLevel Module V1.top.etch.tap
# tool size=0.177800
# pass=1
# preview window width=800 height=600
 0.24130, 0.24130, 0.54800, 0.24130
 0.54800, 0.24130, 0.63668, 0.20456
 0.63668, 0.20456, 0.70195, 0.13930
 0.70195, 0.13930,12.39943, 0.13930
12.39943, 0.13930,12.39943, 1.48280
12.39943, 1.48280,11.87714, 0.96050
11.87714, 0.96050,10.98286, 0.96050
10.98286, 0.96050,10.35050, 1.59286
10.35050, 1.59286,10.35050, 2.48714
10.35050, 2.48714,10.98286, 3.11950
10.98286, 3.11950,11.01090, 3.11950
11.01090, 3.11950,11.01090, 3.50050
11.01090, 3.50050,10.98286, 3.50050
10.98286, 3.50050,10.35050, 4.13286
10.35050, 4.13286,10.35050, 5.02714
10.35050, 5.02714,10.98286, 5.65950
10.98286, 5.65950,11.87714, 5.65950
11.87714, 5.65950,12.39943, 5.13720
12.39943, 5.13720,12.39943, 5.34011
12.39943, 5.34011,12.40723, 5.36918
12.40723, 5.36918,12.42227, 5.39525
12.42227, 5.39525,12.44355, 5.41653
12.44355, 5.41653,12.46962, 5.43157
12.46962, 5.43157,12.49868, 5.43936
12.49868, 5.43936,16.49898, 5.43936
16.49898, 5.43936,16.52805, 5.43157
16.52805, 5.43157,16.55412, 5.41653
16.55412, 5.41653,16.57539, 5.39525
16.57539, 5.39525,16.59044, 5.36918
16.59044, 5.36918,16.59823, 5.34011
16.59823, 5.34011,16.59823, 4.58641
16.59823, 4.58641,16.63450, 4.55014
16.63450, 4.55014,16.63450, 3.75988
16.63450, 3.75988,18.27568, 2.11870
18.27568, 2.11870,18.68170, 2.11870
18.68170, 2.11870,18.68170, 2.76373
18.68170, 2.76373,18.69910, 2.80574
18.69910, 2.80574,18.73125, 2.83790
18.73125, 2.83790,18.77326, 2.85530
18.77326, 2.85530,21.61273, 2.85530
21.61273, 2.85530,21.65474, 2.83790
21.65474, 2.83790,21.68690, 2.80574
21.68690, 2.80574,21.70430, 2.76373
21.70430, 2.76373,21.70430, 0.43226
21.70430, 0.43226,21.68690, 0.39025
21.68690, 0.39025,21.65474, 0.35810
21.65474, 0.35810,21.61273, 0.34070
21.61273, 0.34070,18.77326, 0.34070
18.77326, 0.34070,18.73125, 0.35810
18.73125, 0.35810,18.69910, 0.39025
18.69910, 0.39025,18.68170, 0.43226
18.68170, 0.43226,18.68170, 1.07730
18.68170, 1.07730,17.99145, 1.07730
17.99145, 1.07730,17.85902, 1.11278
17.85902, 1.11278,17.74028, 1.18133
17.74028, 1.18133,17.64333, 1.27828
17.64333, 1.27828,16.59823, 2.32339
16.59823, 2.32339,16.59823, 0.13930
16.59823, 0.13930,21.79805, 0.13930
21.79805, 0.13930,21.86331, 0.20456
21.86331, 0.20456,21.95200, 0.24130
21.95200, 0.24130,22.25870, 0.24130
22.25870, 0.24130,22.25870, 0.54800
22.25870, 0.54800,22.29543, 0.63668
22.29543, 0.63668,22.36070, 0.70195
22.36070, 0.70195,22.36070, 9.58803
22.36070, 9.58803,20.71370, 9.58803
20.71370, 9.58803,20.71370, 6.94730
20.71370, 6.94730,21.61273, 6.94730
21.61273, 6.94730,21.65474, 6.92990
21.65474, 6.92990,21.68690, 6.89774
21.68690, 6.89774,21.70430, 6.85573
21.70430, 6.85573,21.70430, 4.52426
21.70430, 4.52426,21.68690, 4.48225
21.68690, 4.48225,21.65474, 4.45010
21.65474, 4.45010,21.61273, 4.43270
21.61273, 4.43270,18.77326, 4.43270
18.77326, 4.43270,18.73125, 4.45010
18.73125, 4.45010,18.69910, 4.48225
18.69910, 4.48225,18.68170, 4.52426
18.68170, 4.52426,18.68170, 6.85573
18.68170, 6.85573,18.69910, 6.89774
